0,000	37,109
1,000	37,073
2,000	38,391
3,000	39,509
4,000	40,982
5,000	42,236
6,000	42,736
7,000	43,436
8,000	44,218
9,000	44,773
10,000	44,527
11,000	45,182
12,000	45,445
13,000	45,873
14,000	44,782
15,000	44,736
16,000	43,500
17,000	42,764
18,000	41,782
19,000	39,927
20,000	38,000
21,000	36,818
22,000	35,364
23,000	35,000
24,000	33,945
25,000	34,345
26,000	34,136
27,000	33,782
28,000	34,291
29,000	34,909
30,000	36,918
31,000	38,073
32,000	39,545
33,000	40,536
34,000	42,355
35,000	43,927
36,000	46,800
37,000	48,655
38,000	48,855
39,000	47,955
40,000	45,936
41,000	42,945
42,000	41,473
43,000	40,391
44,000	40,082
45,000	38,973
46,000	37,655
47,000	37,827
48,000	38,645
49,000	38,718
50,000	37,973
51,000	38,582
52,000	38,882
53,000	39,636
54,000	39,609
55,000	39,291
56,000	39,791
57,000	41,109
58,000	42,218
59,000	43,009
60,000	43,518
61,000	44,209
62,000	44,555
63,000	45,282
64,000	45,545
65,000	44,782
66,000	43,991
67,000	42,709
68,000	41,045
69,000	40,855
70,000	39,509
71,000	38,155
72,000	36,600
73,000	35,509
74,000	34,545
75,000	33,827
76,000	33,255
77,000	33,900
78,000	35,691
79,000	37,091
80,000	38,700
81,000	39,955
82,000	41,082
83,000	42,609
84,000	44,218
85,000	46,200
86,000	47,155
87,000	48,482
88,000	49,118
89,000	49,100
90,000	47,864
91,000	47,500
92,000	46,900
93,000	44,782
94,000	43,236
95,000	42,345
96,000	41,091
97,000	39,609
98,000	38,573
99,000	36,409
100,000	34,927
101,000	33,373
102,000	33,782
103,000	34,809
104,000	36,118
105,000	37,364
106,000	38,800
107,000	40,455
108,000	41,582
109,000	42,355
110,000	42,700
111,000	43,873
112,000	44,718
113,000	45,700
114,000	46,709
115,000	46,964
116,000	48,427
117,000	49,518
118,000	49,536
119,000	48,264
120,000	45,882
121,000	42,945
122,000	40,445
123,000	37,955
124,000	35,255
125,000	33,318
126,000	31,491
127,000	30,809
128,000	30,600
129,000	30,691
130,000	30,873
131,000	31,791
132,000	33,282
133,000	34,955
134,000	37,645
135,000	40,055
136,000	41,736
137,000	43,055
138,000	44,491
139,000	45,027
140,000	46,836
141,000	47,945
142,000	49,209
143,000	48,318
144,000	47,109
145,000	44,500
146,000	42,255
147,000	40,373
148,000	38,927
149,000	37,918
150,000	36,764
151,000	35,191
152,000	33,273
153,000	31,927
154,000	30,836
155,000	29,818
156,000	29,745
157,000	31,045
158,000	32,291
159,000	35,336
160,000	37,645
161,000	40,245
162,000	42,573
163,000	44,600
164,000	47,209
165,000	49,491
166,000	50,064
167,000	48,409
168,000	47,718
169,000	47,027
170,000	46,891
171,000	45,236
172,000	43,664
173,000	40,355
174,000	37,973
175,000	35,773
176,000	33,664
177,000	32,364
178,000	31,073
179,000	30,209
180,000	29,764
181,000	29,436
182,000	29,973
183,000	30,218
184,000	31,718
185,000	34,127
186,000	36,382
187,000	38,582
188,000	40,809
189,000	42,091
190,000	43,491
191,000	45,791
192,000	46,927
193,000	48,091
194,000	47,491
195,000	47,055
196,000	45,645
197,000	43,382
198,000	41,482
199,000	39,373
200,000	38,782
201,000	37,900
202,000	37,073
203,000	34,182
204,000	31,764
205,000	29,082
206,000	27,182
207,000	27,027
208,000	27,345
209,000	28,982
210,000	30,618
211,000	32,218
212,000	34,018
213,000	36,355
214,000	39,964
215,000	43,218
216,000	47,927
217,000	51,945
218,000	55,891
219,000	57,036
220,000	57,418
221,000	57,264
222,000	57,000
223,000	55,473
224,000	52,909
225,000	51,064
226,000	47,036
227,000	42,564
228,000	38,291
229,000	34,064
230,000	30,755
231,000	29,582
232,000	28,827
233,000	28,009
234,000	28,573
235,000	29,727
236,000	31,755
237,000	33,718
238,000	37,082
239,000	39,982
240,000	43,982
241,000	45,745
242,000	47,982
243,000	50,045
244,000	52,755
245,000	56,827
246,000	58,491
247,000	59,082
248,000	57,573
249,000	54,282
250,000	51,600
251,000	49,445
252,000	48,509
253,000	46,364
254,000	43,582
255,000	40,000
256,000	36,000
257,000	32,373
258,000	29,627
259,000	25,564
260,000	24,500
261,000	24,445
262,000	26,609
263,000	30,191
264,000	34,382
265,000	38,627
266,000	42,782
267,000	47,118
268,000	51,582
269,000	54,982
270,000	59,900
271,000	61,900
272,000	63,473
273,000	63,418
274,000	62,582
275,000	61,082
276,000	57,945
277,000	53,982
278,000	49,818
279,000	46,509
280,000	43,855
281,000	41,473
282,000	39,973
283,000	37,391
284,000	34,564
285,000	31,318
286,000	29,555
287,000	29,073
288,000	30,318
289,000	31,900
290,000	33,491
291,000	36,727
292,000	39,764
293,000	43,300
294,000	48,200
295,000	52,936
296,000	57,227
297,000	59,736
298,000	61,527
299,000	63,718
300,000	66,000
301,000	66,345
302,000	66,564
303,000	65,564
304,000	65,018
305,000	62,018
306,000	58,745
307,000	52,900
308,000	46,318
309,000	41,427
310,000	36,936
311,000	34,509
312,000	32,255
313,000	31,327
314,000	30,682
315,000	31,327
316,000	34,182
317,000	38,609
318,000	44,982
319,000	51,264
320,000	57,773
321,000	63,236
322,000	70,273
323,000	75,009
324,000	79,300
325,000	80,927
326,000	81,755
327,000	81,409
328,000	80,673
329,000	79,000
330,000	76,391
331,000	73,982
332,000	70,064
333,000	67,945
334,000	63,036
335,000	58,918
336,000	52,109
337,000	45,418
338,000	40,136
339,000	36,718
340,000	33,791
341,000	32,345
342,000	33,782
343,000	35,755
344,000	41,036
345,000	45,255
346,000	52,400
347,000	59,018
348,000	70,191
349,000	79,418
350,000	87,091
351,000	90,027
352,000	91,345
353,000	91,145
354,000	89,618
355,000	87,645
356,000	85,291
357,000	82,745
358,000	80,173
359,000	78,591
360,000	76,209
361,000	73,218
362,000	65,300
363,000	58,818
364,000	51,127
365,000	43,509
366,000	38,164
367,000	36,300
368,000	35,736
369,000	36,900
370,000	39,645
371,000	44,455
372,000	50,791
373,000	55,991
374,000	62,400
375,000	69,509
376,000	77,336
377,000	84,245
378,000	91,345
379,000	95,845
380,000	100,264
381,000	103,864
382,000	106,627
383,000	106,355
384,000	98,545
385,000	91,518
